iter	Passed	Remaining
571	28159	70300
572	28199	70227
573	28249	70180
574	28287	70104
575	28329	70035
576	28363	69950
577	28407	69887
578	28456	69837
579	28499	69773
580	28539	69702
581	28574	69618
582	28621	69565
583	28666	69505
584	28715	69457
585	28755	69386
586	28799	69324
587	28847	69274
588	28896	69224
589	28942	69167
590	28990	69115
591	29033	69053
592	29082	69004
593	29127	68945
594	29173	68888
595	29222	68839
596	29268	68783
597	29320	68742
598	29369	68692
599	29422	68651
600	29460	68578
601	29505	68518
602	29553	68468
603	29596	68405
604	29646	68358
605	29695	68308
606	29741	68253
607	29783	68189
608	29832	68140
609	29883	68094
610	29927	68035
611	29974	67982
612	30024	67935
613	30067	67873
614	30111	67812
615	30154	67749
616	30193	67678
617	30231	67605
618	30288	67573
619	30322	67493
620	30366	67432
621	30418	67391
622	30471	67350
623	30509	67276
624	30551	67214
625	30594	67150
626	30645	67107
627	30685	67038
628	30727	66976
629	30771	66915
630	30815	66856
631	30852	66781
632	30894	66718
633	30934	66651
634	30978	66592
635	31024	66536
636	31061	66462
637	31109	66411
638	31148	66343
639	31189	66277
640	31235	66223
641	31273	66151
642	31317	66092
643	31355	66022
644	31401	65967
645	31518	66061
646	31584	66048
647	31628	65989
648	31670	65928
649	31716	65872
650	31758	65810
651	31794	65735
652	31830	65659
653	31864	65580
654	31901	65507
655	31944	65447
656	31985	65383
657	32029	65324
658	32074	65267
659	32123	65220
660	32164	65156
661	32205	65091
662	32244	65023
663	32287	64964
664	32337	64918
665	32372	64842
666	32413	64777
667	32453	64712
668	32500	64661
669	32532	64580
670	32576	64520
671	32613	64451
672	32654	64387
673	32697	64327
674	32736	64260
675	32778	64198
676	32820	64137
677	32860	64072
678	32914	64035
679	32949	63961
680	32988	63893
681	33027	63826
682	33064	63756
683	33103	63690
684	33144	63627
685	33183	63560
686	33219	63489
687	33262	63431
688	33304	63369
689	33345	63308
690	33401	63274
691	33447	63221
692	33484	63152
693	33523	63085
694	33561	63018
695	33600	62952
696	33649	62905
697	33691	62845
698	33735	62790
699	33780	62734
700	33816	62664
701	33852	62592
702	33894	62533
703	33931	62464
704	33980	62417
705	34040	62390
706	34093	62352
707	34139	62298
708	34181	62240
709	34223	62180
710	34261	62114
711	34302	62053
712	34341	61988
713	34382	61927
714	34426	61871
715	34465	61807
716	34506	61746
717	34545	61682
718	34587	61622
719	34633	61570
720	34669	61500
721	34705	61431
722	34749	61376
723	34796	61325
724	34836	61263
725	34881	61210
726	34920	61147
727	34960	61084
728	34995	61013
729	35038	60957
730	35075	60890
731	35116	60830
732	35158	60771
733	35202	60717
734	35240	60651
735	35279	60588
736	35315	60520
737	35357	60462
738	35403	60411
739	35446	60355
740	35485	60291
741	35533	60244
742	35571	60180
743	35615	60124
744	35654	60062
745	35697	60006
746	35739	59949
747	35785	59897
748	35830	59844
749	35868	59781
750	35918	59736
751	35954	59669
752	35999	59616
753	36037	59552
754	36082	59500
755	36122	59439
756	36163	59381
757	36204	59322
758	36246	59265
759	36284	59201
760	36329	59148
761	36370	59089
762	36417	59041
763	36450	58969
764	36494	58915
765	36536	58858
766	36576	58798
767	36617	58741
768	36658	58681
769	36698	58622
770	36743	58570
771	36777	58501
772	36820	58445
773	36865	58394
774	36906	58335
775	36939	58265
776	36984	58214
777	37022	58150
778	37074	58111
779	37111	58046
780	37152	57988
781	37191	57927
782	37233	57870
783	37272	57809
784	37316	57757
785	37358	57701
786	37401	57646
787	37440	57586
788	37485	57535
789	37524	57473
790	37569	57423
791	37609	57363
792	37652	57308
793	37688	57244
794	37735	57195
795	37769	57128
796	37807	57066
797	37848	57010
798	37885	56946
799	37923	56884
800	37962	56825
801	38008	56775
802	38051	56722
803	38087	56657
804	38135	56611
805	38174	56550
806	38219	56499
807	38258	56441
808	38302	56388
809	38351	56343
810	38391	56285
811	38425	56218
812	38469	56166
813	38515	56117
814	38552	56055
815	38595	56001
816	38640	55950
817	38684	55898
818	38734	55855
819	38780	55805
820	38817	55744
821	38860	55690
822	38900	55632
823	38942	55577
824	38985	55524
825	39024	55466
826	39069	55415
827	39119	55372
828	39162	55319
829	39207	55268
830	39250	55214
831	39299	55169
832	39346	55122
833	39389	55070
834	39431	55015
835	39476	54964
836	39521	54914
837	39554	54847
838	39597	54794
839	39639	54740
840	39678	54681
841	39712	54616
842	39754	54562
843	39803	54517
844	39843	54460
845	39882	54402
846	39929	54355
847	39969	54298
848	40013	54246
849	40059	54198
850	40099	54140
851	40152	54102
852	40196	54051
853	40234	53991
854	40281	53943
855	40328	53896
856	40367	53838
857	40409	53785
858	40453	53733
859	40503	53690
860	40559	53654
861	40605	53607
862	40652	53558
863	40701	53515
864	40743	53461
865	40788	53411
866	40834	53362
867	40878	53311
868	40926	53265
869	40967	53210
870	41005	53152
871	41057	53110
872	41106	53066
873	41147	53011
874	41188	52956
875	41231	52904
876	41278	52857
877	41322	52806
878	41361	52749
879	41405	52697
880	41448	52646
881	41493	52596
882	41531	52536
883	41572	52482
884	41604	52417
885	41644	52361
886	41684	52305
887	41722	52246
888	41767	52197
889	41807	52141
890	41855	52095
891	41894	52039
892	41937	51987
893	41982	51938
894	42023	51883
895	42061	51825
896	42103	51773
897	42149	51725
898	42190	51670
899	42230	51615
900	42274	51564
901	42319	51514
902	42359	51459
903	42407	51414
904	42451	51364
905	42492	51309
906	42541	51265
907	42591	51222
908	42635	51172
909	42683	51126
910	42730	51079
911	42769	51023
912	42808	50966
913	42846	50909
914	42888	50856
915	42929	50802
916	42974	50754
917	43015	50700
918	43063	50654
919	43101	50597
920	43144	50546
921	43180	50486
922	43222	50433
923	43266	50383
924	43312	50336
925	43354	50283
926	43395	50230
927	43434	50174
928	43487	50134
929	43535	50089
930	43595	50058
931	43635	50002
932	43682	49956
933	43727	49907
934	43780	49867
935	43826	49819
936	43863	49761
937	43905	49709
938	43945	49654
939	43987	49603
940	44024	49544
941	44078	49506
942	44126	49461
943	44167	49407
944	44215	49361
945	44268	49322
946	44319	49280
947	44351	49217
948	44392	49164
949	44436	49113
950	44469	49052
951	44517	49006
952	44564	48960
953	44599	48900
954	44644	48852
955	44686	48800
956	44744	48765
957	44785	48712
958	44827	48660
959	44874	48613
960	44915	48561
961	44963	48515
962	45005	48463
963	45043	48408
964	45093	48364
965	45137	48314
966	45178	48262
967	45221	48210
968	45263	48159
969	45302	48104
970	45345	48054
971	45385	48000
972	45436	47958
973	45479	47907
974	45540	47875
975	45582	47824
976	45633	47781
977	45691	47747
978	45736	47698
979	45784	47652
980	45822	47597
981	45869	47551
982	45916	47504
983	45957	47452
984	46007	47409
985	46055	47363
986	46094	47308
987	46139	47260
